Education,customer_id,AGE,marital,JOB
tertiary,108996,35,divorced,management
secondary,109003,32,divorced,blue-collar
secondary,109009,37,married,blue-collar
secondary,109010,42,divorced,admin.
tertiary,109015,26,single,technician
secondary,109019,49,married,blue-collar
primary,109026,50,married,blue-collar
SECONDARY,109028,43,married,services
secondary,109037,33,married,blue-collar
primary,109049,41,married,entrepreneur
secondary,109060,25,divorced,blue-collar
tertiary,109067,35,married,self-employed
primary,109071,56,DIVORCED,retired
secondary,109075,53,married,retired
primary,109077,50,married,unemployed
secondary,109086,33,married,blue-collar
tertiary,109099,40,single,management
tertiary,109106,35,married,management
primary,109109,52,married,unknown
secondary,109112,36,married,blue-collar
tertiary,109118,53,married,management
secondary,109122,25,single,blue-collar
tertiary,109125,53,married,management
secondary,109126,59,married,retired
secondary,109128,37,married,blue-collar
secondary,109129,48,divorced,services
primary,109141,59,divorced,retired
secondary,109144,48,single,retired
secondary,109145,47,married,entrepreneur
tertiary,109150,58,married,entrepreneur
secondary,109167,37,single,services
tertiary,109170,37,single,management
unknown,109172,37,married,entrepreneur
secondary,109178,39,married,services
tertiary,109182,45,married,housemaid
tertiary,109185,56,divorced,management
primary,109187,55,single,housemaid
SECONDARY,109188,46,single,admin.
secondary,109196,42,married,unemployed
primary,109201,56,married,retired
secondary,109205,43,single,blue-collar
tertiary,109208,27,single,management
secondary,109209,60,married,blue-collar
primary,109210,59,married,unknown
secondary,109224,38,divorced,services
primary,109235,53,married,housemaid
primary,109236,36,single,unemployed
primary,109240,46,married,blue-collar
SECONDARY,109242,41,married,admin.
secondary,109244,47,married,blue-collar
primary,109245,56,divorced,housemaid
secondary,109246,41,married,housemaid
secondary,109248,29,married,blue-collar
secondary,109249,29,married,self-employed
secondary,109254,60,married,blue-collar
unknown,109268,48,married,technician
secondary,109270,44,divorced,services
secondary,109282,39,single,unknown
primary,109300,59,married,management
secondary,109306,35,married,self-employed
secondary,109307,24,married,admin.
secondary,109310,38,single,admin.
primary,109324,59,married,blue-collar
secondary,109328,38,married,admin.
tertiary,109332,33,married,management
secondary,109338,50,married,technician
secondary,109342,30,married,technician
primary,109343,45,divorced,blue-collar
secondary,109347,30,married,services
secondary,109366,35,married,blue-collar
secondary,109368,41,married,blue-collar
primary,109369,58,married,housemaid
tertiary,109371,42,married,technician
tertiary,109373,52,single,self-employed
primary,109375,57,married,retired
secondary,109385,144,married,technician
unknown,109390,47,married,blue-collar
tertiary,109402,45,married,self-employed
secondary,109412,42,married,blue-collar
secondary,109420,35,single,housemaid
secondary,109436,26,single,management
primary,109440,56,married,services
tertiary,109441,39,married,self-employed
primary,109442,52,married,housemaid
primary,109461,39,married,blue-collar
primary,109462,51,married,self-employed
unknown,109471,46,married,unknown
secondary,109472,39,married,admin.
primary,109473,48,married,blue-collar
secondary,109481,26,single,technician
secondary,109482,26,married,admin.
secondary,109483,28,married,admin.
unknown,109490,37,married,blue-collar
secondary,109506,47,married,admin.
unknown,109507,46,married,unknown
secondary,109508,54,single,services
primary,109512,35,single,self-employed
primary,109519,51,married,housemaid
tertiary,109527,37,married,management
secondary,109528,39,married,services
secondary,109535,30,single,admin.
secondary,109538,37,married,self-employed
secondary,109540,46,married,blue-collar
secondary,109541,52,married,self-employed
tertiary,109542,38,single,management
secondary,109543,28,single,technician
secondary,109547,38,married,admin.
secondary,109548,59,married,admin.
primary,109554,54,divorced,self-employed
unknown,109573,53,married,entrepreneur
primary,109577,41,married,blue-collar
primary,109579,55,divorced,services
tertiary,109584,48,married,management
tertiary,109585,34,married,housemaid
secondary,109593,37,divorced,services
secondary,109600,53,married,technician
tertiary,109603,37,married,entrepreneur
SECONDARY,109609,40,single,services
primary,109616,29,single,blue-collar
secondary,109622,39,single,technician
secondary,109623,45,single,housemaid
secondary,109658,52,married,services
tertiary,109659,37,single,self-employed
secondary,109667,30,single,blue-collar
secondary,109672,49,single,technician
tertiary,109679,35,single,management
secondary,109682,47,DIVORCED,admin.
secondary,109683,40,married,admin.
tertiary,109690,55,divorced,entrepreneur
tertiary,109697,36,married,management
unknown,109698,46,married,unknown
secondary,109707,37,married,blue-collar
tertiary,109709,47,divorced,management
secondary,109712,50,married,blue-collar
secondary,109713,40,married,retired
secondary,109718,37,divorced,self-employed
secondary,109719,43,divorced,management
primary,109721,36,married,blue-collar
secondary,109726,45,married,blue-collar
secondary,109732,44,divorced,technician
secondary,109738,60,married,technician
secondary,109742,45,married,technician
secondary,109748,28,married,blue-collar
tertiary,109757,46,single,entrepreneur
primary,109767,47,married,housemaid
secondary,109772,36,married,self-employed
tertiary,109775,40,married,entrepreneur
primary,109776,52,married,housemaid
secondary,109780,39,divorced,admin.
secondary,109782,35,single,blue-collar
unknown,109792,55,married,blue-collar
secondary,109794,40,married,admin.
unknown,109805,39,single,technician
secondary,109809,37,married,blue-collar
primary,109827,51,married,retired
secondary,109833,57,married,services
tertiary,109838,44,married,entrepreneur
primary,109841,37,married,blue-collar
tertiary,109848,35,married,technician
primary,109859,49,divorced,management
tertiary,109861,51,married,self-employed
unknown,109862,59,married,retired
secondary,109875,49,divorced,management
primary,109878,39,married,management
secondary,109883,56,married,admin.
tertiary,109884,58,married,entrepreneur
tertiary,109891,30,single,management
secondary,109900,50,married,services
tertiary,109926,43,single,management
secondary,109927,47,single,technician
tertiary,109937,58,divorced,self-employed
primary,109939,45,married,technician
primary,109957,59,divorced,blue-collar
unknown,109959,36,married,entrepreneur
secondary,109961,52,married,housemaid
SECONDARY,109964,42,married,technician
tertiary,109977,36,married,management
primary,109989,38,married,technician
secondary,109994,36,single,blue-collar
primary,109997,57,divorced,housemaid
primary,110001,48,divorced,blue-collar
primary,110003,52,married,retired
tertiary,110017,41,single,technician
secondary,110048,59,married,management
tertiary,110059,38,divorced,technician
secondary,110060,35,married,admin.
secondary,110062,58,married,blue-collar
primary,110065,26,single,blue-collar
secondary,110070,37,divorced,self-employed
secondary,110081,39,divorced,admin.
secondary,110086,41,single,entrepreneur
secondary,110087,52,married,blue-collar
tertiary,110094,36,single,self-employed
primary,110096,49,married,housemaid
primary,110098,40,married,blue-collar
secondary,110116,40,divorced,technician
secondary,110136,38,married,blue-collar
primary,110138,39,married,management
secondary,110139,39,single,blue-collar
secondary,110140,54,married,retired
tertiary,110150,42,married,entrepreneur
secondary,110152,39,single,blue-collar
secondary,110154,41,single,admin.
secondary,110164,42,married,admin.
secondary,110170,53,single,retired
tertiary,110171,39,married,management
primary,110177,43,divorced,housemaid
secondary,110184,40,DIVORCED,admin.
primary,110194,37,married,management
primary,110198,57,married,housemaid
secondary,110199,51,married,retired
secondary,110203,44,married,blue-collar
unknown,110210,52,married,retired
secondary,110216,39,married,blue-collar
unknown,110224,37,married,admin.
tertiary,110227,36,married,self-employed
primary,110229,51,married,blue-collar
tertiary,110243,54,married,management
unknown,110248,59,married,retired
secondary,110255,56,married,blue-collar
tertiary,110258,49,married,management
secondary,110260,47,married,blue-collar
tertiary,110261,50,married,blue-collar
unknown,110265,35,divorced,blue-collar
secondary,110267,38,married,services
primary,110289,25,married,blue-collar
tertiary,110301,42,married,self-employed
secondary,110304,40,married,services
tertiary,110306,44,single,management
primary,110317,58,married,retired
secondary,110318,36,married,unemployed
tertiary,110322,37,single,management
secondary,110337,49,married,admin.
tertiary,110342,40,single,admin.
secondary,110344,45,married,services
unknown,110347,52,married,unemployed
primary,110351,48,married,blue-collar
unknown,110368,39,married,blue-collar
tertiary,110379,37,single,management
secondary,110384,37,married,blue-collar
unknown,110385,39,married,management
secondary,110386,55,married,blue-collar
secondary,110400,58,married,admin.
secondary,110402,41,married,services
secondary,110406,44,married,retired
secondary,110408,44,married,blue-collar
secondary,110412,47,married,services
tertiary,110430,39,married,self-employed
primary,110431,49,married,blue-collar
primary,110448,50,married,blue-collar
primary,110458,36,married,blue-collar
secondary,110461,59,married,retired
secondary,110462,42,single,unknown
secondary,110467,55,married,retired
secondary,110468,40,married,blue-collar
secondary,110469,55,married,technician
secondary,110476,56,married,self-employed
secondary,110478,47,divorced,housemaid
tertiary,110481,47,single,housemaid
secondary,110486,40,married,technician
tertiary,110497,43,divorced,management
secondary,110503,41,married,services
secondary,110504,40,married,management
secondary,110506,35,single,ADMINISTRATION
primary,110508,43,single,blue-collar
primary,110511,51,married,housemaid
tertiary,110516,44,single,management
tertiary,110517,35,married,blue-collar
secondary,110518,48,married,blue-collar
secondary,110522,27,single,admin.
tertiary,110535,46,single,management
tertiary,110540,46,divorced,management
tertiary,110542,36,married,management
tertiary,110543,48,divorced,management
secondary,110545,38,married,entrepreneur
tertiary,110552,39,divorced,management
secondary,110555,24,single,blue-collar
primary,110562,35,married,blue-collar
SECONDARY,110563,56,married,technician
secondary,110564,36,single,blue-collar
unknown,110583,48,married,technician
primary,110585,49,married,blue-collar
secondary,110597,36,married,blue-collar
secondary,110601,35,married,blue-collar
tertiary,110604,52,divorced,retired
secondary,110605,46,married,technician
secondary,110609,38,married,blue-collar
primary,110618,47,divorced,blue-collar
unknown,110620,51,married,management
secondary,110621,29,single,technician
primary,110625,36,married,blue-collar
secondary,110632,44,married,self-employed
primary,110634,57,divorced,blue-collar
primary,110639,52,married,management
secondary,110642,36,divorced,blue-collar
unknown,110643,42,single,entrepreneur
secondary,110648,42,divorced,services
secondary,110650,45,married,blue-collar
secondary,110656,36,married,services
secondary,110658,36,divorced,blue-collar
tertiary,110664,38,married,technician
unknown,110666,35,single,blue-collar
primary,110669,51,married,housemaid
tertiary,110670,39,married,management
secondary,110671,57,married,services
tertiary,110672,38,single,technician
secondary,110689,38,married,self-employed
tertiary,110694,48,single,unemployed
secondary,110700,30,married,blue-collar
unknown,110706,57,divorced,management
tertiary,110713,51,married,self-employed
secondary,110714,40,married,admin.
secondary,110715,51,single,management
tertiary,110717,47,married,technician
secondary,110718,39,single,technician
tertiary,110728,45,married,technician
secondary,110731,50,married,blue-collar
primary,110755,43,married,blue-collar
secondary,110765,51,married,blue-collar
tertiary,110778,41,married,entrepreneur
secondary,110784,46,married,technician
tertiary,110787,35,single,technician
tertiary,110794,55,married,management
secondary,110797,53,single,services
tertiary,110822,37,married,management
tertiary,110827,36,married,entrepreneur
tertiary,110828,39,married,management
unknown,110845,57,divorced,management
secondary,110858,49,married,blue-collar
tertiary,110873,50,married,management
primary,110876,48,married,blue-collar
primary,110879,55,married,technician
secondary,110891,37,married,blue-collar
tertiary,110898,49,married,management
secondary,110925,47,married,management
secondary,110927,39,married,self-employed
secondary,110933,36,married,blue-collar
primary,110942,49,single,retired
primary,110946,46,married,housemaid
secondary,110971,59,married,technician
tertiary,110972,40,divorced,technician
tertiary,110983,39,married,management
secondary,110988,53,married,blue-collar
secondary,110992,52,married,services
secondary,110994,46,married,blue-collar
secondary,111000,37,married,housemaid
secondary,111001,45,married,blue-collar
secondary,111010,55,married,self-employed
secondary,111029,39,single,management
secondary,111031,38,divorced,unemployed
secondary,111039,36,single,admin.
primary,111040,49,divorced,retired
secondary,111041,32,single,services
primary,111043,36,divorced,blue-collar
tertiary,111048,56,divorced,management
tertiary,111049,38,single,technician
primary,111053,44,married,housemaid
tertiary,111060,38,single,student
tertiary,111063,46,married,entrepreneur
secondary,111070,36,single,services
secondary,111071,40,married,management
secondary,111077,40,married,blue-collar
tertiary,111080,36,married,self-employed
secondary,111082,48,married,admin.
tertiary,111086,48,married,management
primary,111087,39,married,blue-collar
tertiary,111090,60,married,management
secondary,111096,56,married,blue-collar
primary,111101,43,single,housemaid
tertiary,111111,52,married,services
unknown,111132,53,married,technician
secondary,111151,35,married,blue-collar
secondary,111154,54,married,services
unknown,111163,45,married,unknown
secondary,111169,37,divorced,technician
secondary,111182,36,single,services
secondary,111191,40,married,technician
primary,111216,51,married,retired
tertiary,111220,39,single,self-employed
secondary,111228,51,divorced,services
secondary,111230,27,married,entrepreneur
secondary,111237,32,married,services
secondary,111241,42,single,blue-collar
secondary,111247,27,married,admin.
secondary,111253,44,married,blue-collar
secondary,111269,35,married,admin.
primary,111285,54,married,housemaid
tertiary,111288,41,single,management
unknown,111289,49,single,retired
secondary,111290,46,married,technician
primary,111293,42,single,blue-collar
primary,111296,60,married,housemaid
primary,111311,48,single,blue-collar
unknown,111314,35,married,blue-collar
secondary,111319,50,married,admin.
unknown,111332,48,single,self-employed
secondary,111333,44,married,services
tertiary,111334,56,married,entrepreneur
tertiary,111335,32,single,management
secondary,111336,53,divorced,blue-collar
secondary,111341,48,married,admin.
secondary,111352,41,married,entrepreneur
secondary,111353,33,married,technician
secondary,111355,46,married,admin.
secondary,111357,45,single,services
secondary,111360,43,married,housemaid
tertiary,111366,58,married,management
secondary,111368,59,married,admin.
primary,111377,57,divorced,retired
primary,111385,44,single,housemaid
secondary,111388,31,married,blue-collar
primary,111396,49,married,blue-collar
secondary,111400,31,single,blue-collar
tertiary,111401,53,married,management
secondary,111411,50,married,unemployed
secondary,111417,51,single,admin.
secondary,111421,38,single,blue-collar
tertiary,111425,44,single,blue-collar
tertiary,111436,32,married,management
secondary,111440,42,married,services
primary,111445,47,married,services
primary,111446,39,single,blue-collar
secondary,111447,52,married,admin.
primary,111452,41,married,blue-collar
secondary,111460,44,single,admin.
secondary,111465,41,married,services
primary,111471,40,married,blue-collar
secondary,111472,57,married,unemployed
primary,111489,54,married,retired
tertiary,111490,38,married,management
primary,111492,58,married,blue-collar
secondary,111493,55,married,blue-collar
secondary,111495,54,married,technician
unknown,111496,41,single,self-employed
secondary,111501,53,divorced,unemployed
primary,111508,55,married,entrepreneur
secondary,111509,55,married,services
secondary,111527,55,married,services
primary,111539,46,married,blue-collar
primary,111545,48,married,blue-collar
secondary,111549,41,divorced,blue-collar
secondary,111551,57,single,admin.
secondary,111558,41,divorced,unemployed
secondary,111571,55,divorced,retired
unknown,111575,47,married,admin.
primary,111587,49,married,blue-collar
primary,111588,49,married,entrepreneur
unknown,111594,50,married,blue-collar
primary,111595,38,married,unemployed
secondary,111608,53,married,technician
primary,111611,55,married,housemaid
secondary,111616,39,married,services
tertiary,111620,36,married,management
tertiary,111627,40,married,entrepreneur
primary,111647,59,married,retired
secondary,111666,37,married,admin.
unknown,111672,46,married,blue-collar
tertiary,111691,52,divorced,retired
secondary,111694,37,married,management
secondary,111698,47,married,entrepreneur
tertiary,111700,35,single,management
secondary,111706,26,single,technician
secondary,111707,25,married,blue-collar
SECONDARY,111708,28,married,blue-collar
secondary,111711,29,single,admin.
primary,111713,55,married,housemaid
secondary,111718,42,single,blue-collar
tertiary,111719,45,married,technician
primary,111720,41,married,blue-collar
unknown,111722,43,single,admin.
secondary,111723,27,married,blue-collar
secondary,111732,25,single,blue-collar
tertiary,111738,46,married,entrepreneur
SECONDARY,111750,50,married,unemployed
primary,111760,50,married,retired
primary,111770,56,divorced,unemployed
secondary,111781,51,married,admin.
secondary,111799,36,married,management
primary,111803,43,married,unemployed
secondary,111812,60,married,retired
tertiary,111816,48,married,management
tertiary,111817,50,divorced,technician
SECONDARY,111826,44,married,services
primary,111829,55,divorced,housemaid
secondary,111836,26,single,blue-collar
tertiary,111840,52,married,retired
secondary,111841,50,divorced,technician
primary,111850,43,single,management
tertiary,111860,47,married,self-employed
unknown,111863,54,married,services
primary,111869,44,married,blue-collar
secondary,111871,57,married,technician
tertiary,111878,56,married,management
secondary,111879,37,married,unemployed
tertiary,111882,57,married,management
secondary,111886,41,married,admin.
tertiary,111889,36,married,management
secondary,111900,53,divorced,services
tertiary,111903,44,married,management
primary,111912,46,married,housemaid
tertiary,111920,42,married,technician
secondary,111933,20,single,student
primary,111934,36,married,blue-collar
secondary,111935,47,married,services
secondary,111939,29,single,blue-collar
tertiary,111942,47,married,technician
tertiary,111947,57,married,management
secondary,111959,46,married,blue-collar
secondary,111960,40,married,blue-collar
secondary,111964,54,married,services
tertiary,111966,38,single,blue-collar
primary,111969,39,divorced,blue-collar
primary,111989,42,married,blue-collar
secondary,111996,59,DIVORCED,retired
unknown,112002,45,married,admin.
secondary,112004,39,married,blue-collar
secondary,112031,38,single,technician
secondary,112040,50,married,technician
secondary,112043,48,married,technician
secondary,112052,36,divorced,blue-collar
secondary,112063,51,married,housemaid
primary,112072,43,married,blue-collar
secondary,112078,46,divorced,services
primary,112083,45,divorced,services
secondary,112086,49,divorced,services
primary,112095,57,married,blue-collar
secondary,112097,43,single,blue-collar
tertiary,112110,45,married,management
secondary,112114,52,divorced,services
tertiary,112119,60,married,management
primary,112137,57,married,blue-collar
secondary,112143,56,married,blue-collar
primary,112152,49,married,blue-collar
secondary,112155,30,single,technician
secondary,112157,24,married,management
secondary,112164,30,married,admin.
primary,112174,44,married,blue-collar
secondary,112190,53,married,admin.
secondary,112203,54,married,technician
tertiary,112208,35,single,management
primary,112219,60,married,blue-collar
primary,112236,51,married,management
secondary,112239,50,married,services
unknown,112240,44,divorced,technician
tertiary,112241,40,married,management
secondary,112246,40,married,blue-collar
unknown,112248,56,married,unknown
unknown,112260,38,divorced,services
secondary,112269,46,married,blue-collar
secondary,112292,26,single,technician
tertiary,112298,47,DIVORCED,unemployed
unknown,112303,56,married,entrepreneur
secondary,112309,36,single,student
SECONDARY,112316,28,single,blue-collar
primary,112320,60,married,blue-collar
unknown,112321,53,married,blue-collar
primary,112342,44,married,blue-collar
tertiary,112348,36,married,unemployed
secondary,112350,27,single,blue-collar
primary,112351,26,single,admin.
tertiary,112361,43,married,management
secondary,112365,34,married,technician
secondary,112375,50,single,admin.
primary,112377,25,single,blue-collar
tertiary,112378,31,married,technician
secondary,112392,34,married,technician
secondary,112407,29,divorced,blue-collar
secondary,112414,47,divorced,blue-collar
tertiary,112421,27,married,blue-collar
tertiary,112424,30,married,technician
secondary,112425,52,married,services
secondary,112426,57,married,self-employed
tertiary,112438,46,married,technician
secondary,112448,28,single,admin.
tertiary,112450,35,married,management
tertiary,112455,35,single,self-employed
primary,112458,27,married,blue-collar
secondary,112460,32,divorced,admin.
secondary,112461,47,married,services
secondary,112468,57,married,retired
primary,112477,55,married,retired
primary,112478,58,married,services
tertiary,112490,51,married,blue-collar
primary,112492,60,divorced,retired
secondary,112502,24,single,services
secondary,112518,26,single,services
secondary,112527,33,married,services
primary,112531,49,married,blue-collar
SECONDARY,112534,44,married,admin.
tertiary,112536,55,married,management
secondary,112542,49,married,admin.
secondary,112548,41,single,blue-collar
secondary,112552,39,married,blue-collar
secondary,112567,59,married,technician
secondary,112576,43,single,admin.
tertiary,112590,45,single,technician
tertiary,112592,37,single,technician
secondary,112596,27,single,technician
primary,112600,51,divorced,blue-collar
secondary,112605,48,married,technician
secondary,112607,45,single,technician
primary,112608,45,married,self-employed
primary,112609,50,married,services
tertiary,112614,50,married,management
secondary,112618,32,single,blue-collar
tertiary,112628,54,married,unemployed
secondary,112635,29,single,services
secondary,112665,33,married,services
primary,112670,60,married,blue-collar
primary,112671,51,single,blue-collar
secondary,112678,47,married,admin.
secondary,112681,56,married,entrepreneur
primary,112684,34,married,blue-collar
secondary,112689,33,single,technician
unknown,112690,36,married,technician
unknown,112693,31,single,technician
secondary,112710,36,married,technician
tertiary,112711,46,single,management
tertiary,112713,37,single,technician
primary,112724,36,married,technician
secondary,112730,32,single,technician
secondary,112733,41,married,services
secondary,112739,56,divorced,services
secondary,112741,31,single,blue-collar
tertiary,112748,50,married,management
primary,112751,29,single,services
secondary,112753,44,married,blue-collar
primary,112754,48,divorced,blue-collar
secondary,112758,27,single,management
secondary,112763,28,single,blue-collar
secondary,112764,50,married,blue-collar
secondary,112774,54,married,technician
secondary,112778,28,single,services
primary,112785,49,married,blue-collar
secondary,112786,55,married,blue-collar
secondary,112787,51,married,technician
secondary,112789,38,married,blue-collar
secondary,112795,31,single,admin.
primary,112804,60,married,retired
primary,112805,58,married,management
primary,112806,56,married,blue-collar
primary,112807,36,single,unemployed
secondary,112813,59,married,blue-collar
secondary,112819,39,single,technician
secondary,112823,45,divorced,unemployed
primary,112828,42,divorced,blue-collar
secondary,112829,33,single,services
tertiary,112836,59,married,management
primary,112839,45,divorced,blue-collar
secondary,112841,42,divorced,blue-collar
tertiary,112854,36,divorced,entrepreneur
secondary,112856,45,married,technician
primary,112858,43,married,services
secondary,112859,37,married,self-employed
secondary,112865,46,married,unemployed
SECONDARY,112866,43,married,technician
secondary,112873,44,married,services
secondary,112879,57,married,technician
tertiary,112884,35,single,management
secondary,112887,45,divorced,services
primary,112892,60,divorced,blue-collar
tertiary,112896,32,single,self-employed
secondary,112897,32,married,admin.
tertiary,112899,30,single,management
unknown,112905,40,married,technician
secondary,112917,34,single,technician
primary,112921,49,married,blue-collar
secondary,112922,28,single,technician
secondary,112925,45,divorced,admin.
secondary,112931,31,single,technician
secondary,112941,41,married,management
secondary,112963,41,single,blue-collar
primary,112967,59,divorced,blue-collar
secondary,112968,46,married,management
SECONDARY,112972,,married,technician
tertiary,112981,27,single,management
SECONDARY,112983,47,single,technician
secondary,112986,57,married,retired
secondary,113000,32,single,admin.
tertiary,113003,60,DIVORCED,retired
primary,113021,45,married,blue-collar
secondary,113035,37,married,admin.
secondary,113039,27,single,ADMINISTRATION
primary,113040,25,married,blue-collar
unknown,113048,39,married,blue-collar
tertiary,113050,50,divorced,self-employed
primary,113068,58,married,blue-collar
primary,113072,27,single,blue-collar
tertiary,113073,35,married,management
secondary,113093,28,married,blue-collar
SECONDARY,113099,31,single,blue-collar
secondary,113101,43,married,unknown
secondary,113103,45,married,entrepreneur
secondary,113105,33,married,technician
unknown,113119,36,single,blue-collar
secondary,113127,30,single,admin.
tertiary,113130,34,married,entrepreneur
tertiary,113131,33,married,management
secondary,113141,26,single,blue-collar
tertiary,113156,28,single,self-employed
tertiary,113158,31,single,management
primary,113162,42,single,blue-collar
secondary,113167,33,married,entrepreneur
tertiary,113168,52,married,entrepreneur
secondary,113169,30,divorced,blue-collar
tertiary,113176,26,single,technician
tertiary,113177,32,married,management
secondary,113184,27,single,technician
secondary,113185,29,single,services
tertiary,113186,36,married,management
primary,113189,55,married,blue-collar
secondary,113205,26,single,self-employed
secondary,113208,25,single,technician
secondary,113212,25,married,blue-collar
primary,113213,42,married,blue-collar
secondary,113220,59,divorced,services
tertiary,113221,34,single,admin.
unknown,113226,28,single,admin.
tertiary,113232,26,single,management
secondary,113243,26,single,services
secondary,113244,42,divorced,unemployed
secondary,113247,25,single,technician
secondary,113248,42,married,admin.
tertiary,113252,42,married,management
secondary,113253,44,divorced,technician
secondary,113256,28,married,services
secondary,113261,26,single,technician
secondary,113265,28,single,blue-collar
tertiary,113275,33,divorced,entrepreneur
tertiary,113278,45,divorced,management
tertiary,113281,35,married,self-employed
secondary,113284,60,married,retired
secondary,113287,36,married,services
secondary,113290,30,married,services
secondary,113302,26,single,blue-collar
SECONDARY,113317,,divorced,housemaid
secondary,113329,31,married,blue-collar
unknown,113356,28,single,management
SECONDARY,113361,38,married,technician
secondary,113367,31,married,management
secondary,113368,32,divorced,blue-collar
secondary,113373,56,single,blue-collar
secondary,113377,35,married,services
secondary,113386,41,single,blue-collar
secondary,113388,33,single,services
tertiary,113397,29,single,management
secondary,113399,26,single,admin.
secondary,113403,26,married,technician
secondary,113404,47,married,technician
primary,113406,57,married,blue-collar
unknown,113409,41,divorced,blue-collar
primary,113413,54,married,housemaid
tertiary,113414,27,married,management
primary,113415,35,married,retired
secondary,113418,25,single,blue-collar
tertiary,113424,36,single,management
secondary,113425,37,married,blue-collar
primary,113431,26,married,housemaid
secondary,113433,27,single,services
tertiary,113435,28,single,entrepreneur
secondary,113437,41,married,blue-collar
primary,113438,26,single,blue-collar
tertiary,113439,29,single,technician
secondary,113445,56,married,blue-collar
primary,113447,59,married,retired
secondary,113452,41,married,blue-collar
secondary,113459,52,married,management
secondary,113464,47,married,blue-collar
secondary,113477,40,married,admin.
secondary,113484,41,married,technician
secondary,113496,26,single,unemployed
secondary,113501,36,married,blue-collar
secondary,113503,35,married,admin.
tertiary,113504,53,married,management
unknown,113506,33,married,management
tertiary,113509,53,single,retired
tertiary,113513,33,married,admin.
tertiary,113515,30,married,self-employed
tertiary,113520,45,divorced,management
secondary,113534,36,single,admin.
primary,113540,40,married,blue-collar
secondary,113546,53,single,technician
SECONDARY,113550,35,married,technician
unknown,113559,52,married,blue-collar
primary,113565,37,married,admin.
primary,113567,43,single,blue-collar
tertiary,113568,58,married,entrepreneur
unknown,113570,31,single,management
primary,113573,53,married,housemaid
tertiary,113574,41,divorced,services
SECONDARY,113575,49,married,blue-collar
secondary,113580,36,married,technician
secondary,113581,43,married,technician
tertiary,113606,45,married,management
unknown,113608,31,divorced,services
tertiary,113615,29,divorced,admin.
tertiary,113624,35,divorced,management
tertiary,113625,42,married,entrepreneur
secondary,113639,35,married,blue-collar
secondary,113642,39,divorced,services
secondary,113644,33,married,services
tertiary,113646,38,married,management
primary,113653,57,married,admin.
primary,113660,56,married,retired
secondary,113663,40,married,services
tertiary,113667,33,married,entrepreneur
primary,113678,44,married,housemaid
primary,113704,38,married,blue-collar
secondary,113721,42,married,services
secondary,113722,51,divorced,blue-collar
secondary,113723,30,married,blue-collar
secondary,113739,26,married,technician
primary,113745,52,married,housemaid
secondary,113748,37,married,blue-collar
tertiary,113751,38,single,management
tertiary,113760,32,married,management
secondary,113766,47,married,technician
primary,113767,33,married,blue-collar
tertiary,113770,31,single,management
tertiary,113775,44,married,entrepreneur
unknown,113776,51,married,blue-collar
primary,113787,49,married,blue-collar
primary,113791,27,single,unemployed
secondary,113799,42,married,technician
secondary,113802,30,single,blue-collar
secondary,113805,39,married,blue-collar
tertiary,113821,57,married,management
secondary,113822,35,married,blue-collar
unknown,113824,47,divorced,management
secondary,113827,27,single,services
secondary,113832,26,single,blue-collar
secondary,113840,31,married,blue-collar
secondary,113845,49,married,blue-collar
tertiary,113847,32,married,technician
secondary,113852,46,married,technician
secondary,113860,30,married,blue-collar
tertiary,113880,43,married,management
secondary,113886,46,married,blue-collar
unknown,113900,45,married,entrepreneur
secondary,113902,34,married,ADMINISTRATION
secondary,113905,26,married,services
secondary,113908,47,married,blue-collar
secondary,113909,59,married,admin.
secondary,113925,48,divorced,blue-collar
secondary,113929,34,married,admin.
secondary,113932,41,married,blue-collar
tertiary,113941,36,married,management
primary,113951,55,married,retired
SECONDARY,113952,37,married,blue-collar
secondary,113954,37,single,admin.
secondary,113967,56,married,admin.
tertiary,113969,36,single,management
secondary,113974,38,married,admin.
secondary,113977,25,single,admin.
primary,113985,46,married,blue-collar
primary,113986,49,married,housemaid
secondary,113988,56,divorced,retired
secondary,113993,28,single,admin.
secondary,113998,57,married,housemaid
tertiary,113999,26,single,technician
secondary,114008,29,single,technician
unknown,114010,59,divorced,blue-collar
secondary,114011,29,married,blue-collar
secondary,114012,34,married,admin.
secondary,114014,25,single,blue-collar
secondary,114015,30,single,blue-collar
tertiary,114016,54,married,management
secondary,114022,32,married,blue-collar
secondary,114027,30,married,services
secondary,114028,47,married,services
secondary,114031,59,married,technician
SECONDARY,114033,57,divorced,admin.
tertiary,114034,38,married,management
secondary,114037,54,married,technician
secondary,114039,37,married,blue-collar
tertiary,114040,34,single,management
secondary,114042,29,married,admin.
primary,114045,25,single,blue-collar
secondary,114047,58,married,technician
secondary,114051,50,married,services
tertiary,114060,30,married,technician
secondary,114068,35,married,services
secondary,114081,37,married,blue-collar
secondary,114084,30,married,blue-collar
tertiary,114087,26,single,management
primary,114089,46,married,blue-collar
SECONDARY,114091,29,single,technician
primary,114094,31,married,student
tertiary,114097,39,married,management
secondary,114104,29,single,blue-collar
primary,114105,36,single,unknown
unknown,114108,53,married,technician
tertiary,114110,27,married,entrepreneur
primary,114115,40,married,services
primary,114123,56,single,blue-collar
secondary,114134,32,married,self-employed
tertiary,114139,34,married,management
secondary,114147,37,single,blue-collar
tertiary,114148,34,married,management
secondary,114181,41,married,technician
secondary,114185,37,married,technician
